scope,model,probability_bin,bin_lower,bin_upper,nobs,mean_predicted,observed_rate,calibration_bias_pp
QLD1,seasonal_frequency,6,0.6,0.7,0,,,
QLD1,seasonal_frequency,7,0.7,0.8,0,,,
QLD1,seasonal_frequency,8,0.8,0.9,0,,,
QLD1,seasonal_frequency,9,0.9,1.0,0,,,
SA1,seasonal_frequency,0,0.0,0.1,2061,0.06450237245762978,0.0732654051431344,-0.8763032685504615
SA1,seasonal_frequency,1,0.1,0.2,2460,0.14859330513347035,0.14065040650406505,0.7942898629405309
SA1,seasonal_frequency,2,0.2,0.3,1226,0.23310563776940743,0.2626427406199021,-2.9537102850494685
SA1,seasonal_frequency,3,0.3,0.4,833,0.3495624112364648,0.4897959183673469,-14.023350713088211
SA1,seasonal_frequency,4,0.4,0.5,1124,0.45601936723112574,0.6645907473309609,-20.857138009983515
SA1,seasonal_frequency,5,0.5,0.6,678,0.5368082287871921,0.700589970501475,-16.378174171428284
SA1,seasonal_frequency,6,0.6,0.7,402,0.6400224502134614,0.7786069651741293,-13.858451496066792
SA1,seasonal_frequency,7,0.7,0.8,0,,,
SA1,seasonal_frequency,8,0.8,0.9,0,,,
SA1,seasonal_frequency,9,0.9,1.0,0,,,
VIC1,seasonal_frequency,0,0.0,0.1,2665,0.057410963516320586,0.0724202626641651,-1.500929914784451
VIC1,seasonal_frequency,1,0.1,0.2,2706,0.153067210975477,0.172209903917221,-1.9142692941743977
VIC1,seasonal_frequency,2,0.2,0.3,1197,0.24286457218934318,0.39598997493734334,-15.312540274800016
VIC1,seasonal_frequency,3,0.3,0.4,1301,0.35157595294423233,0.6233666410453498,-27.179068810111744
VIC1,seasonal_frequency,4,0.4,0.5,439,0.43786947148008115,0.5831435079726651,-14.527403649258396
VIC1,seasonal_frequency,5,0.5,0.6,397,0.5562245666023625,0.7959697732997482,-23.974520669738563
VIC1,seasonal_frequency,6,0.6,0.7,79,0.6146527362300203,0.6962025316455697,-8.15497954155494
VIC1,seasonal_frequency,7,0.7,0.8,0,,,
VIC1,seasonal_frequency,8,0.8,0.9,0,,,
VIC1,seasonal_frequency,9,0.9,1.0,0,,,
pooled,statistical_control,0,0.0,0.1,22364,0.027893418420770637,0.035056340547308176,-0.716292212653754
pooled,statistical_control,1,0.1,0.2,2650,0.14131689432907102,0.25056603773584907,-10.924914340677805
pooled,statistical_control,2,0.2,0.3,1401,0.2473572790388736,0.3497501784439686,-10.239289940509499
pooled,statistical_control,3,0.3,0.4,1029,0.3483932254749416,0.47230320699708456,-12.390998152214294
pooled,statistical_control,4,0.4,0.5,877,0.4483918099597559,0.4903078677309008,-4.1916057771144875
pooled,statistical_control,5,0.5,0.6,779,0.5499957283574705,0.5789473684210527,-2.8951640063582196
pooled,statistical_control,6,0.6,0.7,672,0.6502773729456879,0.6696428571428571,-1.9365484197169214
pooled,statistical_control,7,0.7,0.8,775,0.7516562456968094,0.7458064516129033,0.5849794083906179
pooled,statistical_control,8,0.8,0.9,1245,0.8544288287501618,0.8361445783132531,1.8284250436908733
pooled,statistical_control,9,0.9,1.0,3344,0.9599069954961477,0.9635167464114832,-0.3609750915335552
NSW1,statistical_control,0,0.0,0.1,7018,0.02087552523255802,0.04673696209746366,-2.5861436864905643
NSW1,statistical_control,1,0.1,0.2,568,0.14286790271048144,0.2992957746478873,-15.642787193740586
NSW1,statistical_control,2,0.2,0.3,247,0.2478126101661522,0.38461538461538464,-13.680277444923245
NSW1,statistical_control,3,0.3,0.4,163,0.3489927451063333,0.4723926380368098,-12.339989293047648
NSW1,statistical_control,4,0.4,0.5,116,0.4516766308127196,0.5603448275862069,-10.866819677348726
