dataset,table_name,period,source_url,downloaded_at_utc,local_path,sha256,bytes,status
price,DISPATCHPRICE,2020-09,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2020/MMSDM_2020_09/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202009010000.zip,2026-08-23T05:07:15.250210+00:00,data/raw/aemo_history/price/2020-09.zip,a429b7c1a716cfa33ee92493d29af926fc9c247b373322e30056c2c5d51db816,2160407,downloaded
price,DISPATCHPRICE,2020-10,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2020/MMSDM_2020_10/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202010010000.zip,2026-08-23T05:07:19.992107+00:00,data/raw/aemo_history/price/2020-10.zip,ed289e97656f82f784b248c91161ae8bd03fcbb3ddd01f826ef54563e2c78aa8,2246099,downloaded
price,DISPATCHPRICE,2020-11,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2020/MMSDM_2020_11/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202011010000.zip,2026-08-23T05:07:25.942445+00:00,data/raw/aemo_history/price/2020-11.zip,582858b6a2b2580e5a7b14436b6f9565c9e444a4f0f16ebf70fa2baa50914319,2135113,downloaded
price,DISPATCHPRICE,2020-12,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2020/MMSDM_2020_12/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202012010000.zip,2026-08-23T05:07:30.428893+00:00,data/raw/aemo_history/price/2020-12.zip,176c60807a68885e1bf6142f1cdbd790e30952775991b27aca003b271509dfea,2014124,downloaded
price,DISPATCHPRICE,2021-01,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_01/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202101010000.zip,2026-08-23T05:07:35.841548+00:00,data/raw/aemo_history/price/2021-01.zip,3fc45899699fd4638a378d64459c18c0d068db2f44e9aedc98616d265a1049c3,1789458,downloaded
price,DISPATCHPRICE,2021-02,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_02/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202102010000.zip,2026-08-23T05:07:40.313532+00:00,data/raw/aemo_history/price/2021-02.zip,5fbbc85d53d05e986c6b0119e33adc103e52d205c08a0dc117fb2ad52e1498eb,1600101,downloaded
price,DISPATCHPRICE,2021-03,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_03/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202103010000.zip,2026-08-23T05:07:46.899866+00:00,data/raw/aemo_history/price/2021-03.zip,2b2de7b441a572fb4e93bc73d307c9a8c47bc75e86f545b9c1fc51b562d9bbf3,2122061,downloaded
price,DISPATCHPRICE,2021-04,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_04/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202104010000.zip,2026-08-23T05:07:52.528185+00:00,data/raw/aemo_history/price/2021-04.zip,5255312ce7fa3403d270d405353e7f7652bd0bf50fda25385cd09d4f930aa7b9,2054608,downloaded
price,DISPATCHPRICE,2021-05,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_05/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202105010000.zip,2026-08-23T05:07:58.011332+00:00,data/raw/aemo_history/price/2021-05.zip,ada4235a13d94a95d2aae8253bb7674491efd84201d414c3ac9874b76ab5660e,2160977,downloaded
price,DISPATCHPRICE,2021-06,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_06/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202106010000.zip,2026-08-23T05:08:03.057807+00:00,data/raw/aemo_history/price/2021-06.zip,c7618bc977af3507d998f72b085d4478d34b3a3a3050240b43a1f65bf2988641,2131978,downloaded
price,DISPATCHPRICE,2021-07,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_07/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202107010000.zip,2026-08-23T05:08:08.773811+00:00,data/raw/aemo_history/price/2021-07.zip,188b95d0f29104a8b396bb0db216ec57c8d8c35986fa7e7dd00107ac14567b4a,2235210,downloaded
