source_name,source_url,downloaded_at_utc,local_path,sha256,bytes,source_period,status
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250914.zip,2026-08-22T18:02:31.896350+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250914.zip,865518a464dd89bd8738c050f931281d1395153f38cf719df421ae776a3c1c9b,3290225,2025-09-14,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20250914.zip,2026-08-22T18:05:00.224051+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20250914.zip,cc6f60cd50c11993e53c79186e000705adeca42d406d9cba6a7e4bda6203dadc,1085050,2025-09-14,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250915.zip,2026-08-22T18:00:39.177652+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250915.zip,2e75205b9e00230cb5b3576bc64b4c6734d540cc8473795241f560b1564ea5ec,3499843,2025-09-15,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20250915.zip,2026-08-22T18:00:45.025809+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20250915.zip,4f8cfc304a12f531e14c01582ae637ceda9620bd04b8137e14510b51bd62fe32,1095814,2025-09-15,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250916.zip,2026-08-22T18:02:36.797419+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250916.zip,d566a67908abfdd26c0a58315d42c2cee3ca1d0d8f7f8e98f7544a10b2d28e67,3650966,2025-09-16,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250917.zip,2026-08-22T18:02:41.917005+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250917.zip,867ce5cc153e8877b879499746c945a196a19ce31dfd85b411b700f0471cc8e8,3613391,2025-09-17,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250918.zip,2026-08-22T18:02:47.498604+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250918.zip,2dce76adf32605910d11970a9346909254aa3d5a70f96e92558cf08abaa071d6,3577325,2025-09-18,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250919.zip,2026-08-22T18:02:52.192024+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250919.zip,9c47e220ffa56429dcb316a5cb61f147dd3d30726931c06a849380ff620ce87a,3598101,2025-09-19,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250920.zip,2026-08-22T18:02:57.454731+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250920.zip,5e43bf0545aaf5862834860bbb4fc12b26fc92254f697a8f9dd24ed9041bb367,3510293,2025-09-20,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250921.zip,2026-08-22T18:03:02.290772+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250921.zip,6ba0811ab9ce2c697650dc87c22e30dad1f74a922634b10f3d8ae1335ddc3193,3437267,2025-09-21,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250922.zip,2026-08-22T18:03:07.031406+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250922.zip,0e76080cef489e5bbcd65ef26d34fdcc63929b7e28d6de4f10e38a77dfc3abe7,3470891,2025-09-22,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250923.zip,2026-08-22T18:03:11.633972+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250923.zip,286e838069ed9b8fe47f41268f4b2367ab617e191b2c47280093f5b9428e3296,3475277,2025-09-23,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250924.zip,2026-08-22T18:03:17.586165+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250924.zip,45ae57989969da867be27758e5c96861b551bbba0cd1767f4804f41c1968b99b,3489837,2025-09-24,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20250925.zip,2026-08-22T18:03:22.630988+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20250925.zip,2f4c91b454eab46f42db685b0ec95f1b754a76e851512f3f5f288fcdc88b9e1d,3504980,2025-09-25,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251002.zip,2026-08-22T18:05:11.560078+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251002.zip,03d29a48101d6945f3a336f879948c16fd0db45446e722c7e65a1fbca94344a7,3545688,2025-10-02,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251002.zip,2026-08-22T18:05:45.379189+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251002.zip,a31ee22a765b04c2b3246ace5e99acda77ad32c3184fc2ff8d4d5b8fbb936db2,1123281,2025-10-02,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251003.zip,2026-08-22T18:05:16.496448+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251003.zip,40d6f3dd6dbcbf7ade49eb847efbca8d7b7f03299d712753b40cf4b0ce213ce9,3482169,2025-10-03,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251003.zip,2026-08-22T18:05:49.386664+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251003.zip,f9702005157571629455895d023836a2920c9f4535157fc83c06f4bf314c485f,1119950,2025-10-03,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251004.zip,2026-08-22T18:05:21.239636+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251004.zip,052a664762c8b097fc14acb74808073e0400f7f3479eb22ac8658c4e2f5b8039,3476554,2025-10-04,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251004.zip,2026-08-22T18:05:55.059609+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251004.zip,ff3b1b84691d6451036fa14df666778aff84a5daab06a57721e25e9dc867c251,1098320,2025-10-04,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251005.zip,2026-08-22T18:00:49.079809+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251005.zip,52ae36fa18f5143536a72362757688ab219b1356267eaf71fd0817a52c5a708f,3440982,2025-10-05,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251005.zip,2026-08-22T18:00:54.124683+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251005.zip,128c5d0dec9b0ef147e896f071e53ddb0bd3c1ae8a645c2f847a53763755cb44,1091872,2025-10-05,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251006.zip,2026-08-22T18:05:26.034243+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251006.zip,df709a05afbbf37220785f91ba390415bf3e3a364ceb9fb898cee749ad11fc44,3439293,2025-10-06,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251006.zip,2026-08-22T18:05:59.575268+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251006.zip,55c385eb5c310090979e1121ca29878da293bb589e6b96176b1a1efc57f57044,1126694,2025-10-06,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251007.zip,2026-08-22T18:05:30.723593+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251007.zip,3398c6772f134dcb47577894fb37c4d065b13d9368ca000badda2511e9079770,3480388,2025-10-07,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251007.zip,2026-08-22T18:06:03.521517+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251007.zip,0ebd7834af203d27a8dda2edf03b712aeb3feb5a95919cdf0fc2445c0a866d83,1119239,2025-10-07,verified_existing
AEMO NEMWeb dispatch,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_Reports/PUBLIC_DISPATCH_20251008.zip,2026-08-22T18:05:35.180042+00:00,data/raw/aemo_pilot/dispatch/PUBLIC_DISPATCH_20251008.zip,f55307b6231d29833fe3fd02e4ba50135485f27685126ebc3df6e0fb5636657b,3492757,2025-10-08,verified_existing
AEMO NEMWeb scada,https://nemweb.com.au/REPORTS/ARCHIVE/Dispatch_SCADA/PUBLIC_DISPATCHSCADA_20251008.zip,2026-08-22T18:06:08.021248+00:00,data/raw/aemo_pilot/scada/PUBLIC_DISPATCHSCADA_20251008.zip,22676c06e3131181cee8b57903cbfd9a6929b66d927b53f669ce99ad805404d9,1123962,2025-10-08,verified_existing
