month,region,hours,mean_price_aud_mwh,median_price_aud_mwh,negative_price_hour_share,mean_renewable_share_ws,mean_intrahour_price_sd
2019-07,NSW1,744,71.56922165994624,66.07517874999999,0.002688172043010753,0.08574246094229589,9.700633247337976
2019-07,QLD1,744,66.16767561491936,62.547732499999995,0.01881720430107527,0.0559542542101524,12.241390334613152
2019-07,SA1,744,73.92711823700716,82.13102833333333,0.10349462365591398,0.6144553153571903,28.927390302205435
2019-07,TAS1,744,74.77032562724014,82.95681625,0.07661290322580645,0.15023222522420338,16.160225571981048
2019-07,VIC1,744,85.92212110103047,90.65992208333333,0.041666666666666664,0.15756219488024983,16.725373798055887
2019-08,NSW1,744,84.03954798499105,69.56046833333333,0.009408602150537635,0.08884812522564088,18.22122323839828
2019-08,QLD1,744,61.72665413194444,58.9175575,0.06720430107526881,0.07310089102117553,15.226951434948427
2019-08,SA1,744,78.77709704637097,82.93144166666667,0.17473118279569894,0.6192894784412698,44.51668750478095
2019-08,TAS1,744,70.03695266913083,82.75393291666667,0.10080645161290322,0.12675373861784486,18.786358498418295
2019-08,VIC1,744,104.9470707594086,95.01609625,0.04032258064516129,0.16202452268872006,26.986348054906117
2019-09,NSW1,720,95.62358343402776,80.99829208333333,0.008333333333333333,0.09946937162860325,22.654575000482758
2019-09,QLD1,720,58.52486983101852,56.892921666666666,0.10972222222222222,0.08036981242778282,31.319150194210458
2019-09,SA1,720,72.94671778125,77.72457291666666,0.1638888888888889,0.63164553841166,44.39791285581031
2019-09,TAS1,720,57.61601889930556,50.05619833333333,0.004166666666666667,0.13083526275584847,10.283422019168562
2019-09,VIC1,720,104.76333115277778,92.038945,0.018055555555555554,0.14717413301557433,27.626614897743295
2019-10,NSW1,744,101.77303451276882,90.42086416666666,0.008064516129032258,0.0921389250149645,21.76473224159265
2019-10,QLD1,744,74.1598492125896,73.27987791666666,0.07123655913978495,0.07642189464389705,23.80938876271138
2019-10,SA1,744,67.33974909386201,82.57379416666666,0.2056451612903226,0.6936655452242142,51.89729282378836
2019-10,TAS1,744,107.67943357302869,100.3484225,0.010752688172043012,0.13146817608269332,24.468010501565267
2019-10,VIC1,744,100.69909333557347,93.98702375000002,0.05241935483870968,0.14697740541697685,22.598002908220472
2019-11,NSW1,720,69.90287561226852,69.08134166666667,0.0,0.11560177823614128,10.301772519242785
2019-11,QLD1,720,61.07652422222222,62.01579291666667,0.034722222222222224,0.08851805512874553,11.011605408771036
