model,family,outcome,contrast,estimate,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,week_clusters,sample_flag,p_value_holm,holm_family
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,DJF,0.0259223534059846,0.0019150203323931,13.53633325322986,3.5141276011417166e-33,0.0221544129832214,0.0296902938287478,210399,314,headline_sample,3.5141276011417166e-33,heterogeneity_season__negative_price_any
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,MAM,0.0361455799482752,0.0023889439986284,15.130358840151882,3.3879541421067015e-39,0.0314451605804554,0.040845999316095,210399,314,headline_sample,1.0163862426320105e-38,heterogeneity_season__negative_price_any
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,JJA,0.0469637777431791,0.0022884771499298,20.521846916679458,6.779473427415652e-60,0.0424610341357445,0.0514665213506137,210399,314,headline_sample,2.711789370966261e-59,heterogeneity_season__negative_price_any
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,SON,0.0326470037654926,0.0021908408031543,14.901586513491894,2.517165263365013e-38,0.0283363667020583,0.036957640828927,210399,314,headline_sample,5.034330526730026e-38,heterogeneity_season__negative_price_any
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,DJF,-0.0488824569394954,0.0073979341084519,-6.607582092904676,1.6802495704894528e-10,-0.0634384250932852,-0.0343264887857057,210399,314,headline_sample,6.720998281957811e-10,heterogeneity_season__intrahour_price_sd_asinh
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,MAM,-0.0270370319957859,0.0071393208594374,-3.787059375549126,0.0001827475522762,-0.0410841599569464,-0.0129899040346253,210399,314,headline_sample,0.0005482426568286,heterogeneity_season__intrahour_price_sd_asinh
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,JJA,-0.0120904124610246,0.0079926139366935,-1.5126981681822935,0.1313653607144249,-0.0278164560054153,0.003635631083366,210399,314,headline_sample,0.2250909181389954,heterogeneity_season__intrahour_price_sd_asinh
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,SON,-0.0138210186140958,0.0086852166961898,-1.5913268600608417,0.1125454590694977,-0.03090980796869,0.0032677707404984,210399,314,headline_sample,0.2250909181389954,heterogeneity_season__intrahour_price_sd_asinh
heterogeneity_post_5ms_price_asinh,heterogeneity_post_5ms,price_asinh,pre_5ms,-0.2493904545226507,0.0158683876324106,-15.716181145794533,1.95569094454554e-41,-0.2806126500225367,-0.2181682590227647,210399,314,headline_sample,1.95569094454554e-41,heterogeneity_post_5ms__price_asinh
heterogeneity_post_5ms_price_asinh,heterogeneity_post_5ms,price_asinh,post_5ms,-0.2798006043981919,0.015826547672172,-17.679193857935772,5.500207772677968e-49,-0.310940476763016,-0.2486607320333676,210399,314,headline_sample,1.1000415545355936e-48,heterogeneity_post_5ms__price_asinh
heterogeneity_post_5ms_negative_price_any,heterogeneity_post_5ms,negative_price_any,pre_5ms,0.0376070397108979,0.0021184414087184,17.75222083373442,2.877047992065664e-49,0.0334388536701833,0.0417752257516125,210399,314,headline_sample,2.877047992065664e-49,heterogeneity_post_5ms__negative_price_any
heterogeneity_post_5ms_negative_price_any,heterogeneity_post_5ms,negative_price_any,post_5ms,0.0349111175912487,0.0016454493109176,21.216768793551065,1.5545974311901224e-62,0.0316735775676048,0.0381486576148926,210399,314,headline_sample,3.1091948623802448e-62,heterogeneity_post_5ms__negative_price_any
heterogeneity_post_5ms_intrahour_price_sd_asinh,heterogeneity_post_5ms,intrahour_price_sd_asinh,pre_5ms,0.0538686619753099,0.005974767620404,9.016026295541034,1.9920368484742298e-17,0.042112876382473,0.0656244475681467,210399,314,headline_sample,1.9920368484742298e-17,heterogeneity_post_5ms__intrahour_price_sd_asinh
heterogeneity_post_5ms_intrahour_price_sd_asinh,heterogeneity_post_5ms,intrahour_price_sd_asinh,post_5ms,-0.060218286136374,0.00377178882596,-15.965444757116416,2.166636322609187e-42,-0.0676395522937423,-0.0527970199790058,210399,314,headline_sample,4.333272645218374e-42,heterogeneity_post_5ms__intrahour_price_sd_asinh
