aest_year,region,unknown_mw_mean,unknown_mw_max,unknown_generation_share_mean,unknown_generation_share_p99
2019,NSW1,0.0,0.0,0.0,0.0
2019,QLD1,0.0,0.0,0.0,0.0
2019,SA1,5.592707105412138,56.139195,0.003884873751527722,0.01661678633309299
2019,TAS1,0.0,0.0,0.0,0.0
2019,VIC1,3.197023265964674,41.937395,0.0006187799691113712,0.003567436113642022
2020,NSW1,0.0,0.0,0.0,0.0
2020,QLD1,0.0,0.0,0.0,0.0
2020,SA1,7.085379343598209,99.42223916666667,0.005319835791137732,0.03025886562272776
2020,TAS1,0.0,0.0,0.0,0.0
2020,VIC1,2.6386457561095935,41.14479333333333,0.0004883886067402414,0.0031535421985290635
2021,NSW1,0.0962152263127854,49.998870833333335,1.443836389931176e-05,0.00046377672944062314
2021,QLD1,0.01885483904109589,60.0,3.4635525735777324e-06,0.0
2021,SA1,10.503614363203958,88.77698500000001,0.008557748663679,0.0387379444772173
2021,TAS1,0.0,0.0,0.0,0.0
2021,VIC1,4.085009913146879,240.58333416666667,0.000730705739851003,0.008754521228911847
2022,NSW1,2.7870752294520544,50.02660916666667,0.00036140526851709005,0.0028068377937535832
2022,QLD1,3.0878276578196346,100.01335,0.00044466434019113714,0.007295587128964983
2022,SA1,9.219284335711569,107.19414833333333,0.007475290198199343,0.039956950397661575
2022,TAS1,0.0,0.0,0.0,0.0
2022,VIC1,16.37025003015601,239.48583499999998,0.0026964761240771675,0.023794951109357414
2023,NSW1,5.277092931506849,186.3844625,0.0006916893227325316,0.008743242831916928
2023,QLD1,6.1090178708143075,112.42410916666667,0.0008463143233208814,0.008081928798128163
2023,SA1,10.604076564402586,248.51177166666665,0.009014469563415064,0.07607484360027714
2023,TAS1,0.0,0.0,0.0,0.0
2023,VIC1,18.361480758847033,264.61414916666666,0.0031034707986535744,0.02271313013847467
2024,NSW1,15.425759783413024,230.53405666666666,0.0019081116449280685,0.015323115973617072
2024,QLD1,15.121406087962962,358.83745666666664,0.0020125455266880965,0.021965253767743997
2024,SA1,18.994143527625987,227.46198666666666,0.01453283774345383,0.10044168501567394
2024,TAS1,0.0,0.0,0.0,0.0
2024,VIC1,26.14128409247875,323.07193166666667,0.004401475906534802,0.034767649797050784
2025,NSW1,21.577413348872007,464.2922091666667,0.0025840977007042147,0.025045105277033568
2025,QLD1,34.37976574489718,470.36887666666667,0.004426611739739236,0.03695480604744532
2025,SA1,31.663077011970532,351.7967683333333,0.023009446184958815,0.15297931317166077
2025,TAS1,0.0,0.0,0.0,0.0
2025,VIC1,42.10471533321823,690.4279158333334,0.006536151165041177,0.05563662816904099
