model,outcome,parameter,coefficient,std_error,z_stat,p_value,ci_lower,ci_upper,nobs,week_clusters,effects,covariance
logit,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.5996677962616639,0.0157951763655021,37.96524852811301,0.0,0.5687098194558216,0.6306257730675062,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
logit,negative_price_any,log_demand_centered,-6.054706587210234,0.18709587867274313,-32.36151768901742,9.55384679954885e-230,-6.421407771064686,-5.688005403355781,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
logit,negative_price_any,log_demand_centered_sq,-1.4284357025845158,0.07076604735603527,-20.18532553327202,1.3175688632319124e-90,-1.567134606730601,-1.2897367984384307,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
probit,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.3077379871122928,0.008746542504497192,35.18395834171774,3.518061456953647e-271,0.2905950788142295,0.32488089541035603,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
probit,negative_price_any,log_demand_centered,-3.0980358292844725,0.1106555227806908,-27.997118909505296,1.7614506243103514e-172,-3.314916668625078,-2.881154989943867,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
probit,negative_price_any,log_demand_centered_sq,-0.7251367376858774,0.04103892613713711,-17.669486166931733,7.205016612957676e-70,-0.8055715548788656,-0.6447019204928892,210399,314,region_month + local_hour_weekday,clustered_aest_week_small_sample_corrected
