timestamp,region,demand_mw,wind_mw,solar_utility_mw,renewable_share_ws,rrp_aud_mwh
2024-10-23 12:00:00+10:00,SA1,1.6591666666666673,603.1927825,48.69343166666667,392.89977749874424,-130.13272333333333
2021-11-27 12:00:00+10:00,SA1,26.379166666666666,477.62456025,238.29749999999999,27.13967690096351,-35.58978416666667
2024-10-23 13:00:00+10:00,SA1,27.910833333333333,725.671755,27.431240833333334,26.98246185770161,-86.42883583333332
2021-11-27 14:00:00+10:00,SA1,28.525000000000002,490.4689819166667,232.455,25.343522591294185,-35.08965583333333
2024-10-27 14:00:00+10:00,SA1,15.332500000000001,367.00072666666665,12.083066666666667,24.724199793467037,-83.28565833333333
2024-10-24 13:00:00+10:00,SA1,16.989166666666666,309.3276558333333,35.17125083333333,20.277563545396575,-53.047914166666665
2021-11-21 13:00:00+10:00,SA1,17.114166666666666,289.91332125,54.471666666666664,20.12280204022009,-90.5241525
2024-11-10 11:00:00+10:00,SA1,15.520833333333334,204.7668775,95.87198166666667,19.370020456375837,-57.40498333333333
2024-12-22 14:00:00+10:00,SA1,23.760833333333334,439.9915591666667,6.951720000000001,18.81008434749062,-128.23452916666665
2023-10-01 12:00:00+10:00,SA1,22.632499999999997,262.4746016666667,74.22375,14.876763577451307,-53.0234925
2024-10-23 11:00:00+10:00,SA1,48.574999999999996,568.1781258333334,141.55482916666668,14.611074729799283,-55.00583333333333
2024-12-01 13:00:00+10:00,SA1,24.974999999999998,304.269275,32.979371666666665,13.503449315982651,-120.71
2024-12-29 13:00:00+10:00,SA1,14.659999999999998,122.57085583333333,67.59606666666666,12.971822817189633,-40.633230833333336
2025-02-16 12:00:00+10:00,SA1,22.483333333333334,259.16027916666667,22.197016666666666,12.514038361749444,-40.91148333333333
2024-11-03 12:00:00+10:00,SA1,12.717500000000001,131.17774916666667,21.251426666666667,11.985781469104253,-58.18172833333333
2024-11-03 13:00:00+10:00,SA1,18.791666666666668,173.87743583333335,45.2799075,11.662475033259424,-55.09285333333333
2024-11-14 14:00:00+10:00,SA1,50.671666666666674,196.89620083333332,382.64544333333333,11.437193253955199,-26.395813333333333
2023-10-08 11:00:00+10:00,SA1,43.675000000000004,61.03565,437.5866591666667,11.416652757107421,-4.688558333333334
2024-11-01 13:00:00+10:00,SA1,15.237499999999999,109.04013833333333,40.69036833333333,9.826448345638502,-75.57888166666667
2023-12-03 12:00:00+10:00,SA1,16.503333333333334,79.11805333333334,73.92737916666667,9.273607301555241,-56.862429999999996
2021-11-27 11:00:00+10:00,SA1,85.445,514.9623461666666,238.57333333333335,8.818955813681317,-35.62221916666667
2023-12-31 11:00:00+10:00,SA1,3.7874999999999996,30.485596666666666,2.3378333333333337,8.666252145214523,-343.37339083333336
2024-10-29 11:00:00+10:00,SA1,21.448333333333334,23.014319166666667,156.59353416666667,8.373977154402052,-41.58599
2023-09-16 13:00:00+10:00,SA1,21.421666666666667,126.18072,48.1355,8.137378977670583,-63.161935
2024-09-29 12:00:00+10:00,SA1,122.09250000000002,789.5974233333333,141.72648416666667,7.628018981509919,-46.37915999999999
