month,region,hours,mean_demand_mw,mean_wind_mw,mean_solar_utility_mw,mean_hydro_mw,mean_renewable_share_ws,mean_renewable_share_broad
2019-07,NSW1,744,8568.510566756271,595.1000137922267,121.26040626467294,219.22567921482974,0.08574246094229589,0.10806626877570319
2019-07,QLD1,744,5935.552457437276,49.74065350806452,263.6680609482527,126.54193180443549,0.0559542542101524,0.07707104062579846
2019-07,SA1,744,1395.967866263441,748.1920952885305,37.735310600358424,0.0,0.6144553153571903,0.6144553153571903
2019-07,TAS1,744,1231.80394937276,180.0725916438172,0.0,1419.8099058540547,0.15023222522420338,1.3050257288851503
2019-07,VIC1,744,5373.512722894266,754.3653728952733,59.413200070564514,314.3293808534946,0.15756219488024983,0.21062582911141603
2019-08,NSW1,744,8401.268990815412,566.4396692380152,158.6429711294803,269.05321718862007,0.08884812522564088,0.11695262061708349
2019-08,QLD1,744,5754.829590053763,74.18531016801076,322.61709326422493,85.72708027217742,0.07310089102117553,0.08775698115882748
2019-08,SA1,744,1409.5233602150536,756.6982607615367,44.92856353270609,0.0,0.6192894784412698,0.6192894784412698
2019-08,TAS1,744,1192.287528001792,145.62027699171148,0.0,1334.9314895369623,0.12675373861784486,1.2410654915898618
2019-08,VIC1,744,5327.356783154122,748.3435400995743,77.84359453405018,275.91396293794804,0.16202452268872006,0.2082471625421716
2019-09,NSW1,720,7487.788684027778,543.1588910565972,184.78986417361114,281.61598090625,0.09946937162860325,0.13416582847955746
2019-09,QLD1,720,5675.142498842592,87.10934915509259,345.2738807340278,83.29852485532408,0.08036981242778282,0.0949832324326578
2019-09,SA1,720,1209.3380324074074,649.1842135012732,56.553762739583334,0.0,0.63164553841166,0.63164553841166
2019-09,TAS1,720,1076.720502314815,135.76057965775465,0.0,1072.7216456042825,0.13083526275584847,1.1248294752896126
2019-09,VIC1,720,4845.308543981481,605.8765345380787,81.49510601851851,240.87196019675926,0.14717413301557433,0.19277829709118535
2019-10,NSW1,744,7203.306993727599,445.15056478584233,209.6156952157258,336.45261685819895,0.0921389250149645,0.13584850026303635
2019-10,QLD1,744,5835.844942876344,83.4148669657258,347.5238860281138,79.6868720250896,0.07642189464389705,0.08940923579233144
