model,family,outcome,parameter,coefficient,std_error,statistic,p_value,ci_lower,ci_upper,nobs,week_clusters,region_clusters,effects,sample,covariance
sample_include_tas1_price_asinh,sample_include_tas1,price_asinh,log_demand_centered,5.419453183887959,0.1671408894806291,32.424460589675455,0.0,5.091861172371835,5.747045195404083,263007,314,5,region_month + timestamp,all_five_sample,clustered_aest_week_debiased
sample_include_tas1_price_asinh,sample_include_tas1,price_asinh,log_demand_centered_sq,0.9042025019316383,0.03556448210705854,25.424312357754815,0.0,0.8344969961862547,0.9739080076770219,263007,314,5,region_month + timestamp,all_five_sample,clustered_aest_week_debiased
sample_post_5ms_price_asinh,sample_post_5ms,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.27354213772365266,0.016705157229676887,-16.37471195049288,0.0,-0.30628404718263336,-0.24080022826467196,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
sample_post_5ms_price_asinh,sample_post_5ms,price_asinh,log_demand_centered,6.123095582224921,0.2154409655866759,28.421222331374516,0.0,5.700833852388406,6.5453573120614355,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
sample_post_5ms_price_asinh,sample_post_5ms,price_asinh,log_demand_centered_sq,1.0723694252289855,0.04454032857814538,24.076369875617967,0.0,0.9850709110319362,1.1596679394260347,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
aggressive_fe_price_asinh,aggressive_region_date_fe,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.14860066587888954,0.01387283150690103,-10.711631998483384,0.0,-0.17579113683992822,-0.12141019491785085,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
aggressive_fe_price_asinh,aggressive_region_date_fe,price_asinh,log_demand_centered,6.174721282598711,0.20331164403039728,30.370721323150203,0.0,5.77623454610951,6.573208019087911,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
aggressive_fe_price_asinh,aggressive_region_date_fe,price_asinh,log_demand_centered_sq,0.89299983026817,0.03859644059023866,23.13684413930171,0.0,0.8173515823566828,0.9686480781796571,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
inference_price_asinh,inference_driscoll_kraay,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.27012364610175366,0.014707577194480688,-18.36629123409415,4.20353981373093e-75,-0.2989506309443881,-0.24129666125911922,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
inference_price_asinh,inference_driscoll_kraay,price_asinh,log_demand_centered,5.339630825931071,0.2113797844477075,25.26083958256672,5.905261023375432e-140,4.925324529133248,5.753937122728893,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
