model,contrast,estimate,bootstrap_std_error,bootstrap_p_value,ci_lower,ci_upper,nobs,week_clusters
distributed_lag_price_asinh,contemporaneous_plus_lags_1_24,-0.3498262351131294,0.01437542996663887,0.0025,-0.3780408348398815,-0.32061702002397036,209928,314
logit,negative_price_average_marginal_effect,0.04020672006515874,0.0009069379740891158,0.0025,0.03847317614701232,0.04193425526099847,210399,314
probit,negative_price_average_marginal_effect,0.03905878845297957,0.0010428998874773096,0.0025,0.03721387743664155,0.041143105976738044,210399,314
