family,outcome,parameter,coefficient,std_error,p_value,ci_lower,ci_upper,nobs,effects,sample,covariance,effect_unit,claim_boundary
aggressive_region_date_fe,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.027392386235284,0.0016287221256936,0.0,0.0242001236002017,0.0305846488703664,210399,region_date + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
inference_driscoll_kraay,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.035768999779566,0.0016260645506822,9.282427691854468e-107,0.0325818984959328,0.0389561010631992,210399,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours,per 10 percentage-point share increase,conditional association; not causal
inference_two_way_benchmark,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.035768999779566,0.0067602401379335,1.217553797783211e-07,0.0225190707592471,0.0490189287998849,210399,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark,per 10 percentage-point share increase,conditional association; not causal
exposure_headline_p999,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.023914136253425,0.0041992656761741,1.2370825919205686e-08,-0.0321446089898236,-0.0156836635170264,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_raw_uncapped,intrahour_price_sd_asinh,renewable_share_ws_10pp,-0.0026638738781727,0.0012833188418879,0.0379169098417209,-0.0051791519183771,-0.0001485958379682,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_cap_at_one,intrahour_price_sd_asinh,renewable_share_ws_10pp_cap1,-0.0273343088380791,0.0048053880483496,1.2856486986123628e-08,-0.0367527687236156,-0.0179158489525425,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_broad_including_hydro,intrahour_price_sd_asinh,renewable_share_broad_10pp,-0.0026844233939006,0.0013002391186351,0.0389661592734558,-0.0052328648219923,-0.0001359819658089,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_wind_solar_output_100mw,intrahour_price_sd_asinh,renewable_output_ws_100mw,-0.0079835218135679,0.0009666249991236,2.220446049250313e-16,-0.0098780865577678,-0.0060889570693679,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 100 MW wind-plus-solar output,conditional association; not causal
exposure_separate_wind_solar,intrahour_price_sd_asinh,wind_share_10pp,-0.0011249934354283,0.0011881143153171,0.3437049206537754,-0.0034536725985265,0.0012036857276697,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_separate_wind_solar,intrahour_price_sd_asinh,solar_utility_share_10pp,-0.0227964734919232,0.0054317000850953,2.707037623372877e-05,-0.0334424918466329,-0.0121504551372135,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_all_unknown_as_renewable_upper_bound,intrahour_price_sd_asinh,renewable_share_ws_unknown_upper_10pp_p999,-0.0233208929482623,0.004186238896709,2.5391756475201532e-08,-0.0315258334698645,-0.01511595242666,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
sample_include_tas1,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.0172679033987728,0.0036156869154691,1.7908860010518168e-06,-0.0243545603702158,-0.0101812464273298,263007,region_month + timestamp,all_five_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
sample_post_5ms,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.0545648698666517,0.0037988074818315,0.0,-0.0620104873434669,-0.0471192523898366,131391,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
aggressive_region_date_fe,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.0281089802344836,0.0039948068472144,1.9815260543509794e-12,-0.0359387213742148,-0.0202792390947523,210399,region_date + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
inference_driscoll_kraay,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.023914136253425,0.0048882382405245,1.000198453450514e-06,-0.0334951275889434,-0.0143331449179066,210399,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours,per 10 percentage-point share increase,conditional association; not causal
inference_two_way_benchmark,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.023914136253425,0.0055349609813381,1.557282194597498e-05,-0.0347625438005839,-0.0130657287062661,210399,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark,per 10 percentage-point share increase,conditional association; not causal
alternative_negative_price_threshold,negative_price_below_minus_50_any_5min,renewable_share_ws_10pp_winsor_p999,0.0044976296083082,0.0012653807469405,0.000378998605254,0.0020175098583364,0.00697774935828,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
alternative_negative_price_threshold,negative_price_below_minus_100_any_5min,renewable_share_ws_10pp_winsor_p999,0.000858288680353,0.0008578659135562,0.3170736114406067,-0.0008231105350076,0.0025396878957137,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
