region,share_bin,observations,mean_renewable_share_ws,mean_price_aud_mwh,median_price_aud_mwh,negative_price_hour_share,mean_intrahour_price_sd
NSW1,"(-0.001, 0.0213]",1411,0.014254088651188126,297.40750835754784,141.05417666666668,0.011339475549255847,173.8081269974226
NSW1,"(0.0213, 0.0371]",2536,0.029710525265036324,167.24973259365143,104.07863125,0.005126182965299685,77.20532998328429
NSW1,"(0.0371, 0.0515]",3202,0.04460648601875181,155.74862410784925,91.56199958333335,0.004684572142410993,53.738870126998464
NSW1,"(0.0515, 0.066]",3459,0.058907371467243466,140.42464675219236,87.04362250000001,0.003469210754553339,47.35659648337561
NSW1,"(0.066, 0.0821]",4038,0.07419073627505551,127.41019137155357,81.75080500000001,0.0024764735017335313,46.03606284391286
NSW1,"(0.0821, 0.0995]",4536,0.09072411618365617,109.34763637621252,76.71722958333334,0.004629629629629629,33.18447111281452
NSW1,"(0.0995, 0.119]",4498,0.10894240496498077,108.52106518063583,71.33065833333333,0.0031124944419742106,28.35582211235235
NSW1,"(0.119, 0.139]",4447,0.1287766057520273,111.4731511221048,72.27448166666666,0.007645603777827749,30.018450788031007
NSW1,"(0.139, 0.162]",4076,0.15026550792072324,94.25287026026334,68.37666125,0.011285574092247301,20.490094737089464
NSW1,"(0.162, 0.186]",3522,0.17347692556836297,91.76528564925232,66.87071125,0.022714366837024418,22.058844773806157
NSW1,"(0.186, 0.212]",2890,0.19840142361312216,93.6173681975202,70.106755,0.028719723183391003,24.73477148944637
NSW1,"(0.212, 0.243]",2623,0.22742639680508023,99.87850619646714,68.9107175,0.060236370568051846,39.73228314094543
NSW1,"(0.243, 0.28]",2318,0.26114761106720613,82.54940727135461,67.19656,0.08930112165660052,26.47990190678901
NSW1,"(0.28, 0.321]",2134,0.2995412688688814,75.13619106919712,64.39986958333333,0.14526710402999063,29.243869411589493
NSW1,"(0.321, 0.37]",1917,0.3441147670689286,59.74020313206399,56.70241083333334,0.2634324465310381,27.73337132289502
NSW1,"(0.37, 0.429]",1836,0.3973937035225989,40.91597773511257,42.20647958333333,0.4166666666666667,29.51689639902363
NSW1,"(0.429, 0.514]",1813,0.4689912032548909,21.359637816234603,25.075383333333335,0.5863210148924435,22.041640736349997
NSW1,"(0.514, 0.681]",1210,0.5744016131336214,3.287496573002755,0.3559450000000002,0.7876033057851239,18.909002914540338
NSW1,"(0.681, 0.967]",141,0.7284205875982662,-18.101440029550826,-28.08462,0.9645390070921985,13.409690311500396
NSW1,"(0.967, 392.9]",1,1.046230579761531,12.816539999999998,12.816539999999998,1.0,33.76219451422714
QLD1,"(-0.001, 0.0213]",6166,0.012292074652586828,156.42171158490106,74.78757791666666,0.007946805060006487,86.95127080172472
QLD1,"(0.0213, 0.0371]",5640,0.0290689349355628,157.74886792922578,86.64071000000001,0.003900709219858156,74.58265071693833
QLD1,"(0.0371, 0.0515]",5248,0.0444657142529656,144.24864234390878,90.92289541666665,0.005907012195121951,58.83233131275363
QLD1,"(0.0515, 0.066]",4925,0.058603918634447395,134.2078468038917,88.44168416666668,0.006294416243654823,46.53017972818417
QLD1,"(0.066, 0.0821]",4096,0.0736895000893547,119.61932658040365,89.69858708333334,0.010986328125,40.7683955431901
QLD1,"(0.0821, 0.0995]",3173,0.09045780084337247,111.41771182345836,87.337085,0.018594390167034354,34.26572645929141
